Timestamp,Ball_Position
2024-02-18 16:13:26.758804,"(252, 508)"
2024-02-18 16:13:26.993626,"(257, 466)"
2024-02-18 16:13:27.228116,"(262, 429)"
2024-02-18 16:13:27.462470,"(266, 396)"
2024-02-18 16:13:27.930509,"(270, 365)"
2024-02-18 16:13:28.165919,"(264, 380)"
2024-02-18 16:13:28.392023,"(256, 417)"
2024-02-18 16:13:28.612932,"(246, 460)"
2024-02-18 16:13:28.835310,"(239, 504)"
2024-02-18 16:13:29.302537,"(214, 615)"
2024-02-18 16:13:29.536752,"(210, 609)"
2024-02-18 16:13:30.009053,"(212, 517)"
2024-02-18 16:13:30.478291,"(214, 449)"
2024-02-18 16:13:30.712545,"(214, 420)"
2024-02-18 16:13:31.181348,"(214, 381)"
2024-02-18 16:13:31.410129,"(216, 381)"
2024-02-18 16:13:31.643683,"(220, 399)"
2024-02-18 16:13:32.087981,"(227, 487)"
2024-02-18 16:13:32.309187,"(228, 547)"
2024-02-18 16:13:32.530431,"(229, 607)"
2024-02-18 16:13:32.766924,"(232, 631)"
2024-02-18 16:13:33.002423,"(236, 581)"
2024-02-18 16:13:33.237225,"(241, 537)"
2024-02-18 16:13:33.472796,"(244, 497)"
2024-02-18 16:13:34.651888,"(249, 375)"
2024-02-18 16:13:35.593991,"(200, 497)"
2024-02-18 16:13:36.063183,"(170, 599)"
2024-02-18 16:13:36.545224,"(152, 683)"
2024-02-18 16:13:36.783714,"(157, 634)"
2024-02-18 16:13:37.014259,"(164, 594)"
2024-02-18 16:13:37.245970,"(171, 551)"
2024-02-18 16:13:37.472206,"(178, 517)"
2024-02-18 16:13:37.703110,"(184, 485)"
2024-02-18 16:13:37.931981,"(190, 458)"
2024-02-18 16:13:38.162328,"(197, 438)"
2024-02-18 16:13:38.388010,"(204, 422)"
2024-02-18 16:13:38.611287,"(211, 412)"
2024-02-18 16:13:38.837501,"(215, 417)"
2024-02-18 16:13:39.066446,"(218, 438)"
2024-02-18 16:13:39.292415,"(220, 472)"
2024-02-18 16:13:39.517804,"(221, 513)"
2024-02-18 16:13:40.198191,"(224, 665)"
2024-02-18 16:13:40.425533,"(226, 638)"
2024-02-18 16:13:40.651125,"(228, 582)"
2024-02-18 16:13:40.882630,"(229, 534)"
2024-02-18 16:13:41.112071,"(229, 498)"
2024-02-18 16:13:41.340150,"(229, 461)"
2024-02-18 16:13:41.566871,"(229, 430)"
2024-02-18 16:13:41.805666,"(228, 406)"
2024-02-18 16:13:42.034643,"(226, 387)"
2024-02-18 16:13:42.276725,"(225, 378)"
2024-02-18 16:13:42.507636,"(222, 387)"
2024-02-18 16:13:42.739704,"(220, 416)"
2024-02-18 16:13:42.983714,"(217, 458)"
2024-02-18 16:13:43.212718,"(214, 505)"
2024-02-18 16:13:43.439428,"(212, 554)"
2024-02-18 16:13:43.665658,"(208, 612)"
2024-02-18 16:13:43.905367,"(206, 619)"
2024-02-18 16:13:44.149614,"(205, 568)"
2024-02-18 16:13:44.378993,"(203, 521)"
2024-02-18 16:13:44.613610,"(201, 482)"
2024-02-18 16:13:44.852571,"(199, 445)"
2024-02-18 16:13:45.095486,"(197, 412)"
2024-02-18 16:13:45.337669,"(194, 387)"
2024-02-18 16:13:45.818060,"(189, 358)"
2024-02-18 16:13:46.058438,"(187, 361)"
2024-02-18 16:13:46.298168,"(186, 378)"
2024-02-18 16:13:46.536409,"(186, 413)"
2024-02-18 16:13:46.775817,"(185, 461)"
2024-02-18 16:13:47.015425,"(185, 506)"
2024-02-18 16:13:47.259482,"(186, 562)"
2024-02-18 16:13:47.985605,"(188, 535)"
2024-02-18 16:13:48.226924,"(190, 488)"
2024-02-18 16:13:48.468637,"(192, 450)"
2024-02-18 16:13:48.712431,"(194, 413)"
2024-02-18 16:13:48.952743,"(196, 384)"
2024-02-18 16:13:49.424595,"(200, 357)"
2024-02-18 16:13:49.663192,"(201, 360)"
2024-02-18 16:13:49.900676,"(203, 373)"
2024-02-18 16:13:50.143899,"(205, 401)"
2024-02-18 16:13:50.383708,"(207, 444)"
2024-02-18 16:13:50.622091,"(208, 491)"
2024-02-18 16:13:50.850789,"(210, 537)"
2024-02-18 16:13:51.078336,"(212, 597)"
2024-02-18 16:13:51.311393,"(213, 569)"
2024-02-18 16:13:51.546277,"(215, 516)"
2024-02-18 16:13:51.773482,"(216, 476)"
2024-02-18 16:13:52.001823,"(218, 439)"
2024-02-18 16:13:52.229374,"(219, 406)"
2024-02-18 16:13:52.458225,"(221, 378)"
2024-02-18 16:13:52.685365,"(222, 356)"
2024-02-18 16:13:52.912920,"(223, 343)"
2024-02-18 16:13:53.140428,"(224, 339)"
2024-02-18 16:13:53.367982,"(223, 348)"
2024-02-18 16:13:53.608449,"(222, 373)"
2024-02-18 16:13:53.844529,"(222, 408)"
2024-02-18 16:13:54.082543,"(222, 454)"
2024-02-18 16:13:54.311259,"(222, 501)"
2024-02-18 16:13:54.778304,"(221, 610)"
2024-02-18 16:13:55.016948,"(220, 560)"
2024-02-18 16:13:55.254713,"(219, 507)"
2024-02-18 16:13:55.494387,"(218, 473)"
2024-02-18 16:13:55.732843,"(218, 436)"
2024-02-18 16:13:55.971842,"(217, 404)"
2024-02-18 16:13:56.213559,"(215, 378)"
2024-02-18 16:13:56.455897,"(215, 357)"
2024-02-18 16:13:56.695741,"(214, 343)"
2024-02-18 16:13:56.935057,"(213, 339)"
2024-02-18 16:13:57.178592,"(211, 346)"
2024-02-18 16:13:57.419275,"(210, 370)"
2024-02-18 16:13:57.660507,"(210, 407)"
2024-02-18 16:13:57.900920,"(211, 458)"
2024-02-18 16:13:58.143163,"(212, 509)"
2024-02-18 16:13:58.384766,"(213, 568)"
2024-02-18 16:13:58.616070,"(214, 615)"
2024-02-18 16:13:58.848401,"(215, 555)"
2024-02-18 16:13:59.088926,"(216, 507)"
2024-02-18 16:13:59.319243,"(216, 464)"
2024-02-18 16:13:59.548541,"(217, 425)"
2024-02-18 16:13:59.775608,"(217, 392)"
2024-02-18 16:14:00.001538,"(217, 365)"
2024-02-18 16:14:00.228079,"(218, 344)"
2024-02-18 16:14:00.456094,"(218, 331)"
2024-02-18 16:14:00.692964,"(218, 330)"
2024-02-18 16:14:00.931268,"(217, 338)"
2024-02-18 16:14:01.171943,"(216, 356)"
2024-02-18 16:14:01.401923,"(215, 389)"
2024-02-18 16:14:01.630917,"(214, 430)"
2024-02-18 16:14:01.870404,"(212, 477)"
2024-02-18 16:14:02.110530,"(211, 525)"
2024-02-18 16:14:02.350288,"(209, 581)"
2024-02-18 16:14:02.589346,"(207, 600)"
2024-02-18 16:14:02.831089,"(203, 554)"
2024-02-18 16:14:03.061300,"(199, 511)"
2024-02-18 16:14:03.299790,"(192, 480)"
2024-02-18 16:14:03.540120,"(186, 453)"
2024-02-18 16:14:03.771237,"(180, 433)"
2024-02-18 16:14:04.000860,"(172, 417)"
2024-02-18 16:14:04.232730,"(166, 406)"
2024-02-18 16:14:04.461702,"(166, 405)"
2024-02-18 16:14:04.705340,"(175, 413)"
2024-02-18 16:14:04.946647,"(186, 433)"
2024-02-18 16:14:05.178966,"(197, 466)"
2024-02-18 16:14:05.416945,"(204, 510)"
2024-02-18 16:14:05.645406,"(208, 557)"
2024-02-18 16:14:05.875197,"(212, 604)"
2024-02-18 16:14:06.106183,"(214, 671)"
2024-02-18 16:14:06.333908,"(214, 654)"
2024-02-18 16:14:06.560180,"(212, 598)"
2024-02-18 16:14:06.787873,"(211, 549)"
2024-02-18 16:14:07.025014,"(211, 507)"
2024-02-18 16:14:07.260875,"(212, 468)"
2024-02-18 16:14:07.507126,"(214, 435)"
2024-02-18 16:14:07.748471,"(217, 408)"
2024-02-18 16:14:07.981971,"(220, 384)"
2024-02-18 16:14:08.220739,"(225, 372)"
2024-02-18 16:14:08.449372,"(230, 370)"
2024-02-18 16:14:08.680500,"(237, 383)"
2024-02-18 16:14:08.908234,"(245, 409)"
2024-02-18 16:14:09.366427,"(267, 483)"
2024-02-18 16:14:09.834704,"(281, 575)"
2024-02-18 16:14:10.761642,"(289, 467)"
2024-02-18 16:14:11.002133,"(289, 436)"
2024-02-18 16:14:11.243550,"(289, 410)"
2024-02-18 16:14:11.482911,"(288, 391)"
2024-02-18 16:14:11.726021,"(287, 377)"
2024-02-18 16:14:11.957717,"(284, 376)"
2024-02-18 16:14:12.188410,"(283, 399)"
2024-02-18 16:14:12.418673,"(283, 444)"
2024-02-18 16:14:12.647926,"(282, 496)"
2024-02-18 16:14:13.106545,"(278, 616)"
2024-02-18 16:14:13.346176,"(278, 630)"
2024-02-18 16:14:13.572316,"(281, 576)"
2024-02-18 16:14:13.798600,"(282, 534)"
2024-02-18 16:14:14.025278,"(285, 494)"
2024-02-18 16:14:14.252433,"(287, 459)"
2024-02-18 16:14:14.714852,"(291, 408)"
2024-02-18 16:14:14.943319,"(294, 392)"
2024-02-18 16:14:15.172032,"(295, 382)"
2024-02-18 16:14:15.413139,"(291, 392)"
2024-02-18 16:14:15.641055,"(285, 422)"
2024-02-18 16:14:15.871016,"(277, 464)"
2024-02-18 16:14:16.097846,"(268, 512)"
2024-02-18 16:14:16.323755,"(260, 559)"
2024-02-18 16:14:16.563069,"(253, 622)"
2024-02-18 16:14:16.803393,"(248, 643)"
2024-02-18 16:14:17.282157,"(251, 544)"
2024-02-18 16:14:17.512396,"(253, 503)"
2024-02-18 16:14:17.754184,"(254, 466)"
2024-02-18 16:14:17.994230,"(256, 436)"
2024-02-18 16:14:18.227864,"(257, 411)"
2024-02-18 16:14:18.468098,"(259, 391)"
2024-02-18 16:14:18.710871,"(260, 386)"
2024-02-18 16:14:18.953227,"(259, 399)"
2024-02-18 16:14:19.184257,"(257, 431)"
2024-02-18 16:14:19.426743,"(254, 474)"
2024-02-18 16:14:19.669482,"(250, 523)"
2024-02-18 16:14:19.906039,"(247, 571)"
2024-02-18 16:14:20.146293,"(243, 634)"
2024-02-18 16:14:20.627068,"(244, 589)"
2024-02-18 16:14:20.871076,"(246, 548)"
2024-02-18 16:14:21.112611,"(248, 507)"
2024-02-18 16:14:21.344500,"(250, 471)"
2024-02-18 16:14:21.573929,"(251, 441)"
2024-02-18 16:14:21.814578,"(253, 417)"
2024-02-18 16:14:22.064852,"(253, 399)"
2024-02-18 16:14:22.305474,"(254, 389)"
2024-02-18 16:14:22.543161,"(252, 404)"
2024-02-18 16:14:22.772582,"(248, 436)"
2024-02-18 16:14:23.000404,"(243, 479)"
2024-02-18 16:14:23.239787,"(237, 528)"
2024-02-18 16:14:23.479554,"(232, 582)"
2024-02-18 16:14:23.719240,"(226, 643)"
2024-02-18 16:14:23.959226,"(224, 647)"
2024-02-18 16:14:24.200783,"(226, 594)"
2024-02-18 16:14:24.443472,"(228, 547)"
2024-02-18 16:14:24.684916,"(231, 509)"
2024-02-18 16:14:24.912562,"(232, 473)"
2024-02-18 16:14:26.085859,"(228, 429)"
2024-02-18 16:14:26.314031,"(222, 476)"
2024-02-18 16:14:26.553987,"(216, 528)"
2024-02-18 16:14:26.786658,"(208, 586)"
2024-02-18 16:14:27.026927,"(202, 647)"
2024-02-18 16:14:27.257356,"(200, 649)"
2024-02-18 16:14:27.487242,"(201, 590)"
